,reward,test_name,model
0,"(43.6656, 0.0985)",gnugo,dropkeep
1,"(2.2475, 1.0458)",ft,dropkeep
2,"(0.6987, 0.2513)",telecomm-adpcm,dropkeep
3,"(1.4333, 8.6835)",CrystalMk,dropkeep
4,"(5.9376, 15.2907)",AMGmk,dropkeep
5,"(3.5562, 3.6187)",StatementReordering-dbl,dropkeep
6,"(3.8432, 0.1073)",analyzer,dropkeep
7,"(1.4409, 1.0442)",life,dropkeep
8,"(0.6542, 3.3146)",llu,dropkeep
9,"(3.843, 7.6598)",IndirectAddressing-flt,dropkeep
10,"(0.9433, 0.6146)",drop3,dropkeep
11,"(1.8219, 1.2888)",fhourstones3.1,dropkeep
12,"(1.9053, 4.8289)",HACCKernels,dropkeep
13,"(2.3595, 0.0316)",telecomm-fft,dropkeep
14,"(0.5744, 7.4626)",8b10b,dropkeep
15,"(1.9794, 2.3468)",IRSmk,dropkeep
16,"(2.6585, 0.0333)",ocean,dropkeep
17,"(2.2514, 0.8536)",srad,dropkeep
18,"(7.6805, 0.0711)",gs,dropkeep
19,"(0.5194, 0.0252)",netbench-crc,dropkeep
20,"(6.8006, 0.8944)",miniGMG,dropkeep
21,"(4.5526, 4.2694)",Expansion-flt,dropkeep
22,"(3.6103, 13.2611)",Searching-dbl,dropkeep
23,"(4.9393, 5.145)",Reductions-flt,dropkeep
24,"(1.0125, 0.2202)",automotive-basicmath,dropkeep
25,"(4.1777, 8.9414)",LoopRerolling-flt,dropkeep
26,"(4.0693, 3.9928)",Equivalencing-flt,dropkeep
27,"(4.6367, 5.8322)",Reductions-dbl,dropkeep
28,"(3.7958, 7.3739)",Searching-dbl,dropkeep
29,"(4.5493, 6.086)",GlobalDataFlow-dbl,dropkeep
30,"(3.8601, 7.147)",Symbolics-dbl,dropkeep
31,"(5.7734, 4.3255)",Expansion-flt,dropkeep
32,"(0.8961, 0.0611)",qbsort,dropkeep
33,"(6.7574, 0.9589)",miniAMR,dropkeep
34,"(4.6591, 6.4601)",InductionVariable-flt,dropkeep
35,"(1.9979, 3.7129)",HACCKernels,dropkeep
36,"(4.8078, 3.0068)",ControlLoops-dbl,dropkeep
37,"(0.9779, 0.1942)",automotive-basicmath,dropkeep
38,"(2.3066, 3.4561)",HACCKernels,dropkeep
39,"(4.6512, 7.1817)",CrossingThresholds-dbl,dropkeep
40,"(1.1126, 0.8212)",enc-pc1,dropkeep
41,"(4.2258, 2.7136)",XSBench,dropkeep
42,"(6.6163, 0.63)",bc,dropkeep
43,"(1.3787, 0.1585)",mason,dropkeep
44,"(2.2165, 1.4441)",beamformer,dropkeep
45,"(0.646, 0.1782)",uudecode,dropkeep
46,"(4.4574, 6.2138)",IndirectAddressing-dbl,dropkeep
47,"(2.4839, 1.0285)",beamformer,dropkeep
48,"(0.7327, 3.5517)",llu,dropkeep
49,"(4.6855, 6.2431)",Expansion-flt,dropkeep
50,"(0.6774, 0.1899)",uudecode,dropkeep
51,"(6.2339, 1.13)",dbms,dropkeep
52,"(6.3408, 1.1526)",dbms,dropkeep
53,"(6.2358, 1.8038)",HPCCG,dropkeep
54,"(6.636, 4.066)",nbench,dropkeep
55,"(4.3545, 4.6353)",LoopRestructuring-flt,dropkeep
56,"(6.5149, 5.5524)",InductionVariable-flt,dropkeep
57,"(6.4768, 6.9498)",sim,dropkeep
58,"(0.7529, 0.0413)",network-dijkstra,dropkeep
59,"(3.5853, 0.2137)",voronoi,dropkeep
60,"(3.7226, 1.5336)",ecbdes,dropkeep
61,"(4.0182, 8.9426)",LoopRerolling-flt,dropkeep
62,"(6.7722, 3.5202)",nbench,dropkeep
63,"(0.5914, 8.7984)",8b10b,dropkeep
64,,,dropkeep
65,,,dropkeep
66,"(29.609, 15.8473)",halide_blur,dropkeep
67,"(4.3656, 4.9792)",InductionVariable-dbl,dropkeep
68,"(1.1397, 0.7881)",enc-pc1,dropkeep
69,"(1.2897, 0.06)",network-patricia,dropkeep
70,"(1.4071, 1.0366)",life,dropkeep
71,"(2.1773, 1.008)",power,dropkeep
72,"(0.9795, 0.1931)",automotive-basicmath,dropkeep
73,"(6.214, 9.317)",InductionVariable-flt,dropkeep
74,"(2.7863, 0.2591)",neural,dropkeep
75,"(0.9843, 1.7393)",five11,dropkeep
76,"(0.6327, 2.5888)",enc-rc4,dropkeep
77,"(6.7758, 0.6177)",bc,dropkeep
78,"(5.1053, 0.4246)",rsbench,dropkeep
79,"(1.6105, 0.0759)",network-patricia,dropkeep
80,"(1.1965, 0.0899)",mst,dropkeep
81,"(0.7565, 2.4981)",bmm,dropkeep
82,"(0.5453, 8.4601)",8b10b,dropkeep
83,"(0.9993, 0.2178)",automotive-basicmath,dropkeep
84,"(6.2552, 1.8501)",HPCCG,dropkeep
85,"(10.3209, 0.1574)",consumer-typeset,dropkeep
86,"(6.8527, 0.6752)",bc,dropkeep
87,"(6.8682, 0.0602)",security-rijndael,dropkeep
88,"(5.2319, 10.6787)",Reductions-flt,dropkeep
89,"(6.8193, 0.8112)",miniGMG,dropkeep
90,"(4.2037, 14.7541)",Symbolics-dbl,dropkeep
91,"(6.5744, 0.1157)",automotive-susan,dropkeep
92,"(4.9927, 6.3718)",Expansion-flt,dropkeep
93,"(3.2484, 1.1787)",power,dropkeep
94,"(6.7287, 0.5947)",bc,dropkeep
95,"(6.588, 6.8208)",sim,dropkeep
96,"(1.0154, 0.0463)",qbsort,dropkeep
97,"(8.6447, 38.7095)",pairlocalalign,dropkeep
98,"(0.5152, 2.6128)",enc-rc4,dropkeep
99,"(0.7955, 0.0786)",bintr,dropkeep
100,"(4.4315, 8.8693)",LinearDependence-flt,dropkeep
101,"(4.4821, 6.6403)",Expansion-dbl,dropkeep
102,"(4.5575, 1.2996)",bh,dropkeep
103,"(6.7064, 0.8725)",miniGMG,dropkeep
104,"(0.8314, 0.9544)",pathfinder,dropkeep
105,"(0.9273, 0.6517)",bisort,dropkeep
106,"(1.4349, 0.591)",hotspot,dropkeep
107,"(4.1418, 4.1698)",Recurrences-flt,dropkeep
108,"(3.7078, 3.0441)",StatementReordering-flt,dropkeep
109,"(3.0389, 0.0343)",ocean,dropkeep
110,"(0.7016, 0.2066)",uudecode,dropkeep
111,"(4.1293, 4.2083)",Recurrences-flt,dropkeep
112,"(6.53, 11.8901)",NodeSplitting-flt,dropkeep
113,"(3.7671, 4.584)",LoopRerolling-flt,dropkeep
114,"(0.8232, 4.0706)",llu,dropkeep
115,"(2.05, 2.3755)",IRSmk,dropkeep
116,"(29.609, 15.7308)",halide_blur,dropkeep
117,"(2.8864, 2.6741)",XSBench,dropkeep
118,"(2.3246, 0.0323)",ocean,dropkeep
119,"(0.3695, 0.2003)",primes,dropkeep
120,"(6.8597, 0.0813)",pifft,dropkeep
121,"(7.2404, 8.2049)",miniFE,dropkeep
122,"(3.6932, 1.6312)",ecbdes,dropkeep
123,"(5.8684, 11.6271)",AMGmk,dropkeep
124,"(0.6278, 0.0619)",network-dijkstra,dropkeep
125,"(1.1084, 0.0595)",network-patricia,dropkeep
126,"(3.4711, 0.2041)",voronoi,dropkeep
127,"(2.1157, 4.529)",HACCKernels,dropkeep
128,"(2.1021, 1.2937)",power,dropkeep
129,"(6.7058, 3.1554)",CoMD,dropkeep
130,"(6.3247, 0.0915)",gnugo,dropkeep
131,"(0.5768, 8.8546)",8b10b,dropkeep
132,"(0.3897, 0.2025)",primes,dropkeep
133,"(4.8443, 7.9325)",Reductions-dbl,dropkeep
134,"(4.5676, 6.6474)",InductionVariable-flt,dropkeep
