,reward,test_name,model
0,"(165.5408, 0.469)",drop3,o0
1,"(0.027, 0.0993)",mst,o0
2,"(0.0233, 0.2248)",uudecode,o0
3,"(0.0511, 5.6435)",Recurrences-dbl,o0
4,"(0.0212, 5.4995)",em3d,o0
5,"(0.0303, 0.3392)",voronoi,o0
6,"(0.2732, 0.5675)",espresso,o0
7,"(0.1755, 0.0452)",security-rijndael,o0
8,"(0.0307, 3.5375)",enc-rc4,o0
9,"(2.9492, 16.5534)",tramp3d-v4,o0
10,"(0.0347, 0.4775)",fourinarow,o0
11,"(0.0415, 12.0749)",Packing-dbl,o0
12,"(0.0246, 0.1171)",distray,o0
13,"(0.0356, 13.9074)",NodeSplitting-flt,o0
14,"(0.0653, 10.5718)",ControlFlow-flt,o0
15,"(0.0272, 1.2606)",srad,o0
16,"(0.0503, 6.7691)",Reductions-dbl,o0
17,"(0.0554, 1.1183)",dbms,o0
18,"(0.0171, 0.0416)",network-dijkstra,o0
19,"(1.0362, 0.198)",consumer-typeset,o0
20,"(0.4784, 37.7721)",pairlocalalign,o0
21,"(2.9475, 16.4923)",tramp3d-v4,o0
22,"(0.0279, 0.0299)",telecomm-fft,o0
23,"(0.0495, 12.0735)",Packing-dbl,o0
24,"(0.0269, 0.1872)",automotive-basicmath,o0
25,"(0.0561, 13.0348)",InductionVariable-flt,o0
26,"(0.0482, 13.0482)",InductionVariable-flt,o0
27,"(0.0921, 3.9837)",CoMD,o0
28,"(0.0352, 106.0536)",scimark2,o0
29,"(0.0541, 11.5104)",Expansion-flt,o0
30,"(33.2284, 15.5989)",halide_blur,o0
31,"(0.0252, 0.0513)",qbsort,o0
32,"(0.1448, 0.0367)",security-rijndael,o0
33,"(0.0239, 9.0154)",CrystalMk,o0
34,"(0.013, 1.4058)",fhourstones3.1,o0
35,"(0.0454, 13.2323)",Symbolics-dbl,o0
36,"(0.0273, 1.2626)",srad,o0
37,"(0.0282, 0.9244)",netbench-crc,o0
38,"(0.057, 10.5343)",ControlFlow-flt,o0
39,"(0.035, 1.604)",enc-3des,o0
40,"(0.0496, 13.2297)",AMGmk,o0
41,"(0.0132, 10.9918)",is,o0
42,"(0.0426, 11.9495)",ControlLoops-dbl,o0
43,"(0.0198, 0.1784)",telecomm-adpcm,o0
44,"(0.0202, 1.7946)",five11,o0
45,"(0.0365, 0.065)",analyzer,o0
46,"(0.0558, 6.7813)",Reductions-dbl,o0
47,"(0.0297, 0.067)",bisect,o0
48,"(0.0186, 1.7902)",five11,o0
49,"(0.0558, 5.7276)",Recurrences-dbl,o0
50,"(0.022, 0.8089)",ft,o0
51,"(0.0879, 3.992)",CoMD,o0
52,"(0.0199, 0.1897)",telecomm-adpcm,o0
53,"(0.0379, 11.9642)",ControlLoops-dbl,o0
54,"(0.0163, 0.0463)",qbsort,o0
55,"(0.0196, 1.4094)",fhourstones3.1,o0
56,"(0.0519, 13.0512)",InductionVariable-dbl,o0
57,"(0.0164, 1.0111)",pathfinder,o0
58,"(0.035, 0.1847)",neural,o0
59,"(0.0469, 8.2328)",Equivalencing-flt,o0
60,"(0.0552, 11.5217)",Expansion-flt,o0
61,"(0.05, 9.4047)",IndirectAddressing-flt,o0
62,"(0.0959, 0.1929)",pifft,o0
63,"(0.0332, 5.6286)",sim,o0
64,"(0.0383, 0.0556)",ocean,o0
65,"(0.02, 2.1799)",enc-md5,o0
66,"(0.0281, 2.2667)",beamformer,o0
67,"(0.0431, 12.7036)",GlobalDataFlow-dbl,o0
68,"(0.0035, 3.5069)",enc-rc4,o0
69,"(0.0394, 5.6895)",Recurrences-flt,o0
70,"(0.0469, 12.0862)",Packing-dbl,o0
71,"(0.0324, 2.8091)",XSBench,o0
72,"(0.0501, 13.3155)",LinearDependence-flt,o0
73,"(0.0214, 0.4987)",fourinarow,o0
74,"(0.0526, 13.7559)",NodeSplitting-dbl,o0
75,"(0.0127, 0.2461)",mason,o0
76,"(0.0129, 1.7698)",five11,o0
77,"(0.0363, 11.6537)",CrossingThresholds-dbl,o0
78,"(0.0225, 0.991)",pathfinder,o0
79,"(0.0518, 9.4239)",IndirectAddressing-flt,o0
80,"(0.1057, 4.0897)",nbench,o0
81,"(0.0643, 4.3354)",SimpleMOC,o0
82,"(0.0099, 1.9794)",treeadd,o0
83,"(0.0267, 1.9753)",treeadd,o0
84,"(0.0453, 13.3774)",LinearDependence-dbl,o0
85,"(0.0366, 1.6192)",enc-3des,o0
86,"(0.0493, 2.018)",bh,o0
87,"(0.0291, 5.1823)",em3d,o0
88,"(0.0254, 2.7248)",IRSmk,o0
89,"(0.0671, 11.5383)",Expansion-flt,o0
90,"(0.0122, 1.8999)",enc-pc1,o0
91,"(0.0253, 1.2536)",anagram,o0
92,"(0.2554, 0.568)",espresso,o0
93,"(0.0271, 0.1517)",pcompress2,o0
94,"(0.0195, 0.9966)",pathfinder,o0
95,"(0.0608, 13.3039)",LinearDependence-flt,o0
96,"(0.0486, 4.7542)",LoopRestructuring-flt,o0
97,"(0.0395, 7.0946)",Searching-dbl,o0
98,"(0.0438, 12.0429)",Packing-flt,o0
99,"(0.0144, 1.3186)",life,o0
100,"(0.0795, 4.1093)",nbench,o0
101,"(0.0514, 13.2889)",LinearDependence-flt,o0
102,"(0.0456, 102.0571)",scimark2,o0
103,"(0.0157, 0.2176)",uudecode,o0
104,"(33.2284, 15.6128)",halide_blur,o0
105,"(0.0327, 13.8231)",NodeSplitting-dbl,o0
106,"(0.0464, 1.0865)",dbms,o0
107,"(0.0323, 0.0571)",analyzer,o0
108,"(0.1342, 3.6467)",HACCKernels,o0
109,"(0.0997, 0.5695)",bc,o0
110,"(0.0142, 0.085)",bintr,o0
111,"(0.0262, 0.7547)",ft,o0
112,"(0.0245, 2.5473)",ecbdes,o0
113,"(0.0463, 13.6409)",NodeSplitting-dbl,o0
114,"(0.0456, 9.4283)",LoopRerolling-dbl,o0
115,"(0.0791, 1.2952)",miniAMR,o0
116,"(0.0183, 0.2456)",mason,o0
117,"(0.0909, 1.3832)",miniGMG,o0
118,"(0.0213, 1.3269)",life,o0
119,"(0.0224, 0.1841)",neural,o0
120,"(0.024, 0.079)",network-patricia,o0
121,"(0.0109, 2.1501)",enc-md5,o0
122,"(0.4418, 37.5275)",pairlocalalign,o0
123,"(0.0373, 3.1661)",XSBench,o0
124,"(0.0551, 5.7862)",Recurrences-flt,o0
125,"(0.0269, 3.1202)",IRSmk,o0
126,"(0.0192, 4.5086)",llu,o0
127,"(0.0205, 0.0519)",network-dijkstra,o0
128,"(0.0327, 11.1201)",StatementReordering-flt,o0
129,"(0.0198, 0.0981)",mst,o0
130,"(1.0637, 0.2023)",consumer-typeset,o0
131,"(0.063, 9.494)",IndirectAddressing-flt,o0
132,"(0.0657, 4.3151)",SimpleMOC,o0
133,"(0.0224, 0.0903)",mst,o0
134,"(0.0231, 0.0592)",qbsort,o0
135,"(0.0451, 11.5213)",Expansion-flt,o0
136,"(0.0237, 1.2681)",srad,o0
137,"(0.02, 0.1659)",telecomm-adpcm,o0
138,"(0.0452, 0.0921)",gnugo,o0
139,"(0.455, 9.3478)",miniFE,o0
140,"(0.0245, 10.9705)",is,o0
141,"(0.0971, 0.5949)",bc,o0
142,"(0.0143, 1.2132)",tsp,o0
143,"(0.0366, 2.8263)",XSBench,o0
144,"(0.0253, 0.9373)",netbench-crc,o0
145,"(2.9618, 16.3725)",tramp3d-v4,o0
146,"(0.0432, 7.1703)",Searching-flt,o0
147,"(0.0242, 0.4794)",fourinarow,o0
148,"(0.0402, 13.0271)",InductionVariable-flt,o0
149,"(0.0457, 0.1265)",vor,o0
150,"(0.0725, 3.9531)",CoMD,o0
151,"(0.0363, 0.0445)",ocean,o0
152,"(0.015, 0.039)",security-sha,o0
153,"(0.0492, 6.7675)",Reductions-dbl,o0
154,"(0.0418, 13.2079)",Symbolics-dbl,o0
155,"(0.0473, 12.7108)",GlobalDataFlow-dbl,o0
156,"(0.0228, 5.1834)",em3d,o0
157,"(0.0652, 0.0714)",automotive-susan,o0
158,"(0.1638, 0.0437)",security-rijndael,o0
159,"(0.0558, 11.5236)",Expansion-flt,o0
160,"(0.0484, 1.0979)",dbms,o0
161,"(0.0799, 1.3959)",miniGMG,o0
162,"(0.0636, 11.5353)",Expansion-flt,o0
163,"(0.0245, 0.0627)",bisect,o0
164,"(0.027, 0.5034)",fourinarow,o0
165,"(0.0388, 0.0388)",ocean,o0
166,"(33.2284, 15.7087)",halide_blur,o0
167,"(0.0337, 102.2108)",scimark2,o0
168,"(0.0159, 0.4584)",drop3,o0
169,"(0.054, 8.1853)",Equivalencing-flt,o0
170,"(0.0427, 13.2665)",Symbolics-flt,o0
171,"(0.0561, 8.202)",Equivalencing-flt,o0
172,"(0.0443, 5.2287)",LoopRestructuring-dbl,o0
173,"(0.0522, 12.6068)",GlobalDataFlow-dbl,o0
174,"(0.0124, 0.166)",telecomm-adpcm,o0
175,"(0.0225, 0.1561)",pcompress2,o0
176,"(0.0552, 10.9907)",CrossingThresholds-flt,o0
177,"(0.0464, 4.712)",LoopRestructuring-flt,o0
178,"(0.0396, 5.6487)",sim,o0
179,"(0.0485, 7.0926)",Searching-flt,o0
180,"(0.0166, 0.9546)",pathfinder,o0
181,"(0.2657, 0.5482)",espresso,o0
182,"(0.012, 0.2278)",telecomm-CRC32,o0
183,"(0.1759, 1.3339)",HPCCG,o0
184,"(0.026, 5.5605)",sim,o0
185,"(0.0204, 0.0591)",network-patricia,o0
186,"(0.024, 0.0648)",bisect,o0
187,"(0.0168, 1.1514)",power,o0
188,"(0.0295, 1.569)",enc-3des,o0
189,"(0.0411, 7.0199)",Searching-dbl,o0
190,"(0.0411, 10.8879)",StatementReordering-dbl,o0
191,"(0.0472, 12.5932)",GlobalDataFlow-dbl,o0
192,"(0.059, 6.709)",Reductions-dbl,o0
193,"(0.0189, 10.8877)",is,o0
194,"(0.0611, 4.2774)",SimpleMOC,o0
195,"(0.0433, 9.3398)",IndirectAddressing-flt,o0
196,"(0.0346, 2.2523)",beamformer,o0
197,"(0.0517, 13.6019)",NodeSplitting-flt,o0
198,"(0.0195, 0.0978)",mst,o0
199,"(0.0575, 12.3493)",GlobalDataFlow-flt,o0
200,"(0.05, 8.747)",Reductions-flt,o0
201,"(0.0731, 3.2539)",PathFinder,o0
202,"(0.0218, 0.0857)",bintr,o0
203,"(0.0081, 0.9825)",pathfinder,o0
204,"(0.4541, 37.4215)",pairlocalalign,o0
205,"(0.0875, 1.378)",miniGMG,o0
206,"(0.0585, 0.0705)",automotive-susan,o0
207,"(0.0218, 1.9381)",treeadd,o0
208,"(0.0552, 11.8653)",ControlLoops-dbl,o0
209,"(0.0339, 0.2969)",voronoi,o0
210,"(0.0946, 1.3088)",miniAMR,o0
211,"(0.0483, 2.7937)",XSBench,o0
212,"(0.0801, 3.959)",CoMD,o0
213,"(0.0442, 0.1051)",vor,o0
214,"(0.0532, 0.0704)",automotive-susan,o0
215,"(0.0261, 0.4699)",fourinarow,o0
216,"(0.0151, 0.2185)",primes,o0
217,"(0.0165, 5.126)",em3d,o0
218,"(0.0565, 9.4009)",LoopRerolling-flt,o0
219,"(0.0251, 1.9916)",bh,o0
220,"(0.091, 0.1853)",pifft,o0
221,"(0.0464, 13.6261)",NodeSplitting-dbl,o0
222,"(0.0285, 0.0297)",telecomm-fft,o0
223,"(0.0385, 11.5198)",Expansion-flt,o0
224,"(0.0489, 13.3499)",LinearDependence-flt,o0
225,"(0.0455, 11.2605)",StatementReordering-flt,o0
226,"(0.061, 4.5187)",SimpleMOC,o0
227,"(0.049, 12.3298)",Packing-dbl,o0
228,"(0.0581, 10.9169)",ControlFlow-dbl,o0
229,"(0.0433, 14.2784)",NodeSplitting-flt,o0
230,"(0.0392, 3.2846)",XSBench,o0
231,"(0.3767, 0.0594)",gs,o0
232,"(0.0321, 2.2461)",enc-md5,o0
233,"(0.0388, 9.4761)",CrystalMk,o0
234,"(0.4877, 39.5247)",pairlocalalign,o0
235,"(0.1355, 3.9529)",HACCKernels,o0
236,"(0.0345, 0.9937)",netbench-crc,o0
237,"(0.0185, 1.9163)",five11,o0
238,"(0.1496, 0.0422)",security-rijndael,o0
239,"(0.0578, 5.5514)",LoopRestructuring-dbl,o0
240,"(3.1457, 16.8997)",tramp3d-v4,o0
241,"(0.0153, 2.0096)",treeadd,o0
242,"(0.0424, 5.4206)",LoopRestructuring-dbl,o0
243,"(1.1166, 0.208)",consumer-typeset,o0
244,"(0.0229, 0.1006)",bintr,o0
245,"(0.0296, 0.535)",fourinarow,o0
246,"(0.0278, 11.4508)",is,o0
247,"(0.0172, 4.0963)",bmm,o0
248,"(0.025, 0.3935)",iotest,o0
249,"(0.0534, 11.9275)",Expansion-dbl,o0
250,"(0.0991, 1.4323)",miniGMG,o0
251,"(0.0119, 0.2259)",primes,o0
252,"(0.4865, 38.4815)",pairlocalalign,o0
253,"(0.0103, 3.8909)",bmm,o0
254,"(0.0264, 2.2183)",enc-md5,o0
255,"(0.0351, 11.2384)",StatementReordering-flt,o0
256,"(0.0304, 0.5635)",fourinarow,o0
257,"(0.3623, 0.0566)",gs,o0
258,"(1.0575, 0.202)",consumer-typeset,o0
259,"(0.0225, 0.1259)",mst,o0
260,"(0.0213, 0.2748)",mason,o0
261,"(0.0479, 12.4685)",Packing-dbl,o0
262,"(0.0147, 0.2313)",telecomm-CRC32,o0
263,"(0.0344, 2.323)",beamformer,o0
264,"(0.027, 0.0406)",security-sha,o0
265,"(0.0346, 0.196)",automotive-basicmath,o0
266,"(0.0546, 13.1618)",InductionVariable-flt,o0
267,"(0.0455, 9.5741)",IndirectAddressing-flt,o0
268,"(0.0428, 12.1534)",Packing-flt,o0
269,"(0.0226, 0.7344)",hotspot,o0
270,"(0.0387, 7.1881)",Searching-flt,o0
271,"(0.0324, 0.15)",pcompress2,o0
272,"(0.0193, 1.2477)",anagram,o0
273,"(0.037, 0.0303)",telecomm-fft,o0
274,"(0.0189, 1.9607)",treeadd,o0
275,"(0.0938, 0.199)",pifft,o0
276,"(0.0138, 1.0257)",pathfinder,o0
277,"(0.0409, 0.1194)",vor,o0
278,"(0.0489, 13.8259)",AMGmk,o0
279,"(0.017, 2.2087)",enc-md5,o0
280,"(0.028, 0.1573)",pcompress2,o0
281,"(0.0227, 0.692)",hotspot,o0
282,"(0.0237, 3.6896)",enc-rc4,o0
283,"(0.0515, 11.4071)",StatementReordering-dbl,o0
284,"(0.057, 4.9416)",LoopRestructuring-flt,o0
285,"(0.1364, 0.0456)",security-rijndael,o0
286,"(0.0176, 1.4829)",fhourstones3.1,o0
287,"(0.0411, 9.7015)",LoopRerolling-flt,o0
288,"(0.0439, 0.4523)",rsbench,o0
289,"(0.043, 5.7996)",Recurrences-dbl,o0
290,"(0.0152, 1.2776)",anagram,o0
291,"(0.0293, 0.1968)",neural,o0
292,"(0.0469, 1.6357)",enc-3des,o0
293,"(0.0246, 0.0386)",telecomm-fft,o0
294,"(0.059, 8.3895)",Equivalencing-flt,o0
295,"(0.4782, 9.6616)",miniFE,o0
296,"(0.0817, 4.1624)",CoMD,o0
297,"(0.0249, 0.9708)",ft,o0
298,"(0.0313, 1.267)",anagram,o0
299,"(0.0637, 12.9395)",GlobalDataFlow-dbl,o0
