,reward,test_name,model
0,"(130.2512, 6.8844)",CrossingThresholds-flt,random45
1,"(0.5316, 1.0035)",miniGMG,random45
2,"(0.2684, 6.7999)",Expansion-dbl,random45
3,"(0.2532, 0.1025)",distray,random45
4,"(0.7124, 0.9618)",miniGMG,random45
5,"(0.4206, 0.8953)",miniGMG,random45
6,"(0.2916, 6.4738)",Searching-dbl,random45
7,"(0.2625, 0.7805)",srad,random45
8,"(0.2555, 0.1033)",bisect,random45
9,"(0.3656, 3.6894)",CoMD,random45
10,"(0.3939, 11.9268)",ControlFlow-flt,random45
11,"(0.3037, 11.8317)",Packing-dbl,random45
12,"(0.2465, 0.2109)",health,random45
13,"(0.2394, 0.247)",mason,random45
14,"(0.3798, 3.2293)",SimpleMOC,random45
15,"(0.3079, 5.3162)",Equivalencing-dbl,random45
16,"(0.2307, 0.1006)",bisect,random45
17,"(0.6134, 0.0438)",security-rijndael,random45
18,"(0.335, 10.9991)",ControlFlow-flt,random45
19,"(0.2198, 1.51)",ecbdes,random45
20,"(0.2108, 0.5458)",hotspot,random45
21,"(0.5103, 9.0845)",LinearDependence-flt,random45
22,"(0.2529, 0.0439)",ocean,random45
23,"(0.3894, 15.1523)",Packing-dbl,random45
24,"(0.3463, 4.3169)",Expansion-dbl,random45
25,"(0.442, 1.1326)",dbms,random45
26,"(0.2815, 4.3671)",LoopRestructuring-flt,random45
27,"(0.2081, 3.2683)",bmm,random45
28,"(0.3567, 0.0912)",gnugo,random45
29,"(1.2838, 9.5036)",miniFE,random45
30,"(0.2254, 0.096)",analyzer,random45
31,"(0.3324, 8.9141)",InductionVariable-dbl,random45
32,"(4.9205, 0.1703)",consumer-typeset,random45
33,"(0.2646, 0.0297)",security-sha,random45
34,"(0.2365, 8.255)",8b10b,random45
35,"(0.4187, 6.615)",Expansion-flt,random45
36,"(0.2971, 12.9928)",InductionVariable-flt,random45
37,"(1.6096, 8.0311)",miniFE,random45
38,,,random45
39,,,random45
40,"(28.1964, 14.8474)",halide_blur,random45
41,"(0.2594, 0.246)",uudecode,random45
42,"(0.4701, 1.0495)",miniGMG,random45
43,"(0.21, 3.5056)",bmm,random45
44,"(0.2396, 1.2392)",life,random45
